Info 0    [15:11:33.402] Starting TS Server
Info 1    [15:11:33.406] Version: 3.7.2
Info 2    [15:11:33.406] Arguments: /usr/local/bin/node /usr/local/bin/tsserver --logFile /Users/clin/Projects/spring-cloud-microservice-workshop/sidecar/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/0r/d6wn9bld5ylgc8k60x3kr36r0000gn/T/57d0474fc2b89b477828a36566fdcf98/tscancellation*
Info 3    [15:11:33.406] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [15:11:33.457] Search path: /Users/clin/Projects/spring-cloud-microservice-workshop/sidecar
Info 5    [15:11:33.458] For info: /Users/clin/Projects/spring-cloud-microservice-workshop/sidecar/node-server.js :: No config files found.
Info 6    [15:11:33.462] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [15:11:34.159] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 697ms
Info 8    [15:11:34.159] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [15:11:34.159] 	Files (6)

Info 10   [15:11:34.159] -----------------------------------------------
Info 11   [15:11:34.259] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [15:11:34.262] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 3ms
Info 13   [15:11:34.263] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [15:11:34.265] getCompletionData: Get current token: 0
Info 15   [15:11:34.265] getCompletionData: Is inside comment: 0
Info 16   [15:11:34.265] getCompletionData: Get previous token 1: 0
Info 17   [15:11:34.265] getCompletionData: Get previous token 2: 0
Info 18   [15:11:34.272] getCompletionData: Semantic work: 7
Info 19   [15:11:34.282] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9
Info 20   [15:11:34.465] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [15:11:34.470] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 5ms
Info 22   [15:11:34.470] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 23   [15:11:34.471] getCompletionData: Get current token: 0
